2025-08-19 14:56:18 |     INFO |    logging_config.py:  64 |        setup_logging | Logging initialized. Log file: logs/rag_mcp_20250819_145618.log
2025-08-19 14:56:18 |     INFO |             tools.py:  16 |             <module> | Initializing MCP Tools Module
2025-08-19 14:56:18 |     INFO |             tools.py:  36 |             <module> | Creating ChromaDBManager instance
2025-08-19 14:56:18 |     INFO | chromadb_operations.py:  41 |             __init__ | Initializing ChromaDBManager
2025-08-19 14:56:18 |     INFO | chromadb_operations.py:  67 |             __init__ | Loading embedding model: BAAI/bge-small-en-v1.5
2025-08-19 14:56:18 |     INFO | SentenceTransformer.py: 219 |             __init__ | Use pytorch device_name: cpu
2025-08-19 14:56:18 |     INFO | SentenceTransformer.py: 227 |             __init__ | Load pretrained SentenceTransformer: BAAI/bge-small-en-v1.5
2025-08-19 14:56:24 |     INFO | chromadb_operations.py:  71 |             __init__ | Embedding model loaded successfully
2025-08-19 14:56:24 |     INFO | chromadb_operations.py:  74 |             __init__ | Loading reranker model: BAAI/bge-reranker-base
2025-08-19 14:56:27 |     INFO |      CrossEncoder.py: 222 |             __init__ | Use pytorch device: cpu
2025-08-19 14:56:27 |     INFO | chromadb_operations.py:  76 |             __init__ | Reranker model loaded successfully
2025-08-19 14:56:27 |     INFO | chromadb_operations.py:  81 |             __init__ | Initializing Groq client
2025-08-19 14:56:27 |     INFO | chromadb_operations.py:  83 |             __init__ | Groq client initialized successfully
2025-08-19 14:56:27 |     INFO | chromadb_operations.py:  88 |             __init__ | Loading ChromaDB instance
2025-08-19 14:56:29 |     INFO |           posthog.py:  22 |             __init__ | Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
2025-08-19 14:56:29 |     INFO | chromadb_operations.py: 129 |      _load_chroma_db | ChromaDB loaded with 2365 documents
2025-08-19 14:56:29 |     INFO | chromadb_operations.py:  92 |             __init__ | ChromaDBManager initialization completed successfully
